"id","title","description","director","star1","star2","poster_url","release_date","imdb_rating","our_rating"
"1","The Shawshank Redemption","Imprisoned in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.","Frank Darabont","Tim Robbins","Morgan Freeman","/kXfqcdQKsToO0OUXHcrrNCHDBzO.jpg",,"9.3","10"
"2","The Godfather","Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.","Francis Ford Coppola","Marlon Brando","Al Pacino","/tmU7GeKVybMWFButWEGl2M4GeiP.jpg",,"9.2","10"
"3","The Dark Knight","Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.","Christopher Nolan","Christian Bale","Heath Ledger","/oOv2oUXcAaNXakRqUPxYq5lJURz.jpg",,"9","7"
"4","The Godfather: Part II","In the continuing saga of the Corleone crime family, a young Vito Corleone grows up in Sicily and in 1910s New York. In the 1950s, Michael Corleone attempts to expand the family business into Las Vegas, Hollywood and Cuba.","Francis Ford Coppola","Al Pacino","Robert De Niro","/kGzFbGhp99zva6oZODW5atUtnqi.jpg",,"9","5"
"5","12 Angry Men","The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young Spanish-American is guilty or innocent of murdering his father. What begins as an open and shut case soon becomes a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, and each other.","Sidney Lumet","Henry Fonda","Lee J. Cobb","/bxgTSUenZDHNFerQ1whRKplrMKF.jpg",,"9","4"
"6","The Lord of the Rings: The Return of the King","As armies mass for a final battle that will decide the fate of the world--and powerful, ancient forces of Light and Dark compete to determine the outcome--one member of the Fellowship of the Ring is revealed as the noble heir to the throne of the Kings of Men. Yet, the sole hope for triumph over evil lies with a brave hobbit, Frodo, who, accompanied by his loyal friend Sam and the hideous, wretched Gollum, ventures deep into the very dark heart of Mordor on his seemingly impossible quest to destroy the Ring of Power.​","Peter Jackson","Elijah Wood","Viggo Mortensen","/2u7zbn8EudG6kLlBzUYqP8RyFU4.jpg",,"8.9","0"
"7","Pulp Fiction","A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.","Quentin Tarantino","John Travolta","Uma Thurman","/suaEOtk1N1sgg2MTM7oZd2cfVp3.jpg",,"8.9","0"
"8","Schindler's List","The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.","Steven Spielberg","Liam Neeson","Ralph Fiennes","/zb6fM1CX41D9rF9hdgclu0peUmy.jpg",,"8.9","0"
"9","Inception","Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.","Christopher Nolan","Leonardo DiCaprio","Joseph Gordon-Levitt","/8ZTVqvKDQ8emSGUEMjsS4yHAwrp.jpg",,"8.8","0"
"10","Fight Club","A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground ""fight clubs"" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion.","David Fincher","Brad Pitt","Edward Norton","/hZkgoQYus5vegHoetLkCJzb17zJ.jpg",,"8.8","0"
"11","The Lord of the Rings: The Fellowship of the Ring","Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.","Peter Jackson","Elijah Wood","Ian McKellen","/x2RS3uTcsJJ9IfjNPcgDmukoEcQ.jpg",,"8.8","0"
"14","The Lord of the Rings: The Two Towers","Frodo Baggins and the other members of the Fellowship continue on their sacred quest to destroy the One Ring--but on separate paths. Their destinies lie at two towers--Orthanc Tower in Isengard, where the corrupt wizard Saruman awaits, and Sauron's fortress at Barad-dur, deep within the dark lands of Mordor. Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard.","Peter Jackson","Elijah Wood","Ian McKellen","/jfEOzpsjc6JDlKhUHb4toWQPt.jpg",,"8.7","0"
"15","The Matrix","Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.","Lana Wachowski","Lilly Wachowski","Keanu Reeves","/icmmSD4vTTDKOq2vvdulafOGw93.jpg",,"8.7","0"
"16","Goodfellas","The true story of Henry Hill, a half-Irish, half-Sicilian Brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a Mafia family under the guidance of Jimmy Conway.","Martin Scorsese","Robert De Niro","Ray Liotta","/7TF4p86ZafnxFuNqWdhpHXFO244.jpg",,"8.7","0"
"17","Star Wars: Episode V - The Empire Strikes Back","The epic saga continues as Luke Skywalker, in hopes of defeating the evil Galactic Empire, learns the ways of the Jedi from aging master Yoda. But Darth Vader is more determined than ever to capture Luke. Meanwhile, rebel leader Princess Leia, cocky Han Solo, Chewbacca, and droids C-3PO and R2-D2 are thrown into various stages of capture, betrayal and despair.","Irvin Kershner","Mark Hamill","Harrison Ford","/dMZxEdrWIzUmUoOz2zvmFuutbj7.jpg",,"8.7","0"
"18","One Flew Over the Cuckoo's Nest","A petty criminal fakes insanity to serve his sentence in a mental ward rather than prison. He soon finds himself as a leader to the other patients—and an enemy to the cruel, domineering nurse who runs the ward.","Milos Forman","Jack Nicholson","Louise Fletcher","/uA8eSNAUUUyfHNIrG4h0zHxzt9W.jpg",,"8.7","0"
"21","Soorarai Pottru","Nedumaaran Rajangam ""Maara"" sets out to make the common man fly and in the process takes on the world's most capital intensive industry and several enemies who stand in his way.","Sudha Kongara","Suriya","Madhavan","/xyerWHsg0hsQ4GXWGp1Ial0iIeE.jpg",,"8.6","0"
"22","Interstellar","The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.","Christopher Nolan","Matthew McConaughey","Anne Hathaway","/l33oR0mnvf20avWyIMxW02EtQxn.jpg",,"8.6","0"
"25","Saving Private Ryan","As U.S. troops storm the beaches of Normandy, three brothers lie dead on the battlefield, with a fourth trapped behind enemy lines. Ranger captain John Miller and seven men are tasked with penetrating German-held territory and bringing the boy home.","Steven Spielberg","Tom Hanks","Matt Damon","/rW2xRFlJRbTnBJlQTSjQmjevIwb.jpg",,"8.6","0"
"26","The Green Mile","A supernatural tale set on death row in a Southern prison, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the cell block's head guard, Paul Edgecomb, recognizes Coffey's miraculous gift, he tries desperately to help stave off the condemned man's execution.","Frank Darabont","Tom Hanks","Michael Clarke Duncan","/amZavErrjrdgDwhsIdpWxHNenIx.jpg",,"8.6","0"
"27","La vita Ã¨ bella","A touching story of an Italian book seller of Jewish ancestry who lives in his own little fairy tale. His creative and happy life would come to an abrupt halt when his entire family is deported to a concentration camp during World War II. While locked up he tries to convince his son that the whole thing is just a game.","Roberto Benigni","Roberto Benigni","Nicoletta Braschi","/6aNKD81RHR1DqUUa8kOZ1TBY1Lp.jpg",,"8.6","0"
"28","Se7en","Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Somerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.","David Fincher","Morgan Freeman","Brad Pitt","/p1PLSI5Nw2krGxD7X4ulul1tDAk.jpg",,"8.6","0"
"29","The Silence of the Lambs","Clarice Starling is a top student at the FBI's training academy.  Jack Crawford wants Clarice to interview Dr. Hannibal Lecter, a brilliant psychiatrist who is also a violent psychopath, serving life behind bars for various acts of murder and cannibalism.  Crawford believes that Lecter may have insight into a case and that Starling, as an attractive young woman, may be just the bait to draw him out.","Jonathan Demme","Jodie Foster","Anthony Hopkins","/aYcnDyLMnpKce1FOYUpZrXtgUye.jpg",,"8.6","0"
"30","Star Wars","Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.","George Lucas","Mark Hamill","Harrison Ford","/2w4xG178RpB4MDAIfTkqAuSJzec.jpg",,"8.6","0"
"32","Shichinin no samurai","A samurai answers a village's request for protection after he falls on hard times. The town needs protection from bandits, so the samurai gathers six others to help him teach the people how to defend themselves, and the villagers provide the soldiers with food.","Akira Kurosawa","ToshirÃ´ Mifune","Takashi Shimura","/sJNNMCc6B7KZIY3LH3JMYJJNH5j.jpg",,"8.6","0"
"33","It's a Wonderful Life","A holiday favourite for generations...  George Bailey has spent his entire life giving to the people of Bedford Falls.  All that prevents rich skinflint Mr. Potter from taking over the entire town is George's modest building and loan company.  But on Christmas Eve the business's $8,000 is lost and George's troubles begin.","Frank Capra","James Stewart","Donna Reed","/3q35nBLCIdEbxYfsr7D5ocYQXKz.jpg",,"8.6","0"
"34","Joker","During the 1980s, a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure.","Todd Phillips","Joaquin Phoenix","Robert De Niro","/rlay2M5QYvi6igbGcFjq8jxeusY.jpg",,"8.5","0"
"35","Whiplash","Under the direction of a ruthless instructor, a talented young drummer begins to pursue perfection at any cost, even his humanity.","Damien Chazelle","Miles Teller","J.K. Simmons","/fRGxZuo7jJUWQsVg9PREb98Aclp.jpg",,"8.5","0"
"37","The Prestige","A mysterious story of two magicians whose intense rivalry leads them on a life-long battle for supremacy -- full of obsession, deceit and jealousy with dangerous and deadly consequences.","Christopher Nolan","Christian Bale","Hugh Jackman","/yCnJT53HMXAK87xzPAdjdYhZ3JE.jpg",,"8.5","0"
"39","The Pianist","The true story of pianist Władysław Szpilman's experiences in Warsaw during the Nazi occupation. When the Jews of the city find themselves forced into a ghetto, Szpilman finds work playing in a café; and when his family is deported in 1942, he stays behind, works for a while as a laborer, and eventually goes into hiding in the ruins of the war-torn city.","Roman Polanski","Adrien Brody","Thomas Kretschmann","/dVr11o9or7AS8AMPfwjSpEU83iU.jpg",,"8.5","0"
"40","Gladiator","Tommy Riley has moved with his dad to Chicago from a 'nice place'. He keeps to himself, goes to school. However, after a street fight he is noticed and quickly falls into the world of illegal underground boxing - where punches can kill.","Ridley Scott","Russell Crowe","Joaquin Phoenix","/CHTWwOdfHiFWJEBKShPRsqRYIP.jpg",,"8.5","0"
"41","American History X","Derek Vineyard is paroled after serving 3 years in prison for killing two African-American men. Through his brother, Danny Vineyard's narration, we learn that before going to prison, Derek was a skinhead and the leader of a violent white supremacist gang that committed acts of racial crime throughout L.A. and his actions greatly influenced Danny. Reformed and fresh out of prison, Derek severs contact with the gang and becomes determined to keep Danny from going down the same violent path as he did.","Tony Kaye","Edward Norton","Edward Furlong","/9LSsSPbP715XT9B7acIZzantPyX.jpg",,"8.5","0"
